UserId,Sports,Religious,Nature,Theatre,Shopping,Picnic
User1,2,77,79,69,68,95
User2,2,62,76,76,69,68
User3,2,50,97,87,50,75
User4,2,68,77,95,76,61
User5,2,98,54,59,95,86
User6,3,52,109,93,52,76
User7,3,64,85,82,73,69
User8,3,54,107,92,54,76
User9,3,64,108,64,54,93
User10,3,86,76,74,74,103
User11,3,107,54,64,103,94
User12,3,103,60,63,102,93
User13,3,64,82,82,75,69
User14,3,93,54,74,103,69
User15,3,63,82,81,78,69
User16,3,82,79,75,75,82
User17,5,59,131,103,54,86
User18,5,56,124,108,56,85
User19,4,85,67,111,65,72
User20,5,114,83,65,114,102
User21,4,93,82,79,79,90
User22,4,105,52,75,113,78
User23,5,69,118,74,66,101
User24,4,71,123,64,59,102
User25,5,88,94,81,79,91
User26,5,83,99,89,74,91
User27,5,69,133,74,54,101
User28,5,128,53,74,117,105
User29,5,74,123,69,61,101
User30,5,79,93,118,90,72
User31,4,51,115,110,51,84
User32,5,69,93,93,81,79
User33,4,100,53,86,112,78
User34,4,88,69,108,71,77
User35,4,93,84,75,84,112
User36,4,79,86,110,93,73
User37,4,87,72,112,63,71
User38,5,65,128,79,56,101
User39,4,91,66,110,69,71
User40,4,93,79,74,92,90
User41,5,59,118,108,63,85
User42,5,65,103,90,80,79
User43,4,87,89,76,89,111
User44,4,93,85,79,85,91
User45,5,93,94,79,79,113
User46,5,74,130,74,53,101
User47,4,118,59,69,119,97
User48,4,101,61,76,113,78
User49,5,88,99,79,83,114
User50,4,74,87,87,79,79
User51,14,148,59,104,208,119
User52,5,93,89,74,89,93
User53,4,79,103,68,103,85
User54,4,76,92,111,90,71
User55,8,94,140,89,118,92
User56,8,108,109,89,89,143
User57,6,98,89,133,79,79
User58,8,84,118,102,94,90
User59,8,138,74,79,143,118
User60,6,74,109,103,89,88
User61,8,118,104,94,94,118
User62,8,94,128,89,128,99
User63,8,64,155,118,64,97
User64,6,84,108,138,103,79
User65,8,108,109,94,99,138
User66,6,89,108,128,116,81
User67,6,103,79,148,74,79
User68,6,103,109,99,89,108
User69,8,108,99,94,94,138
User70,8,108,109,104,79,133
User71,8,138,59,84,138,128
User72,8,79,143,113,69,109
User73,8,84,153,79,64,113
User74,8,74,148,118,64,104
User75,8,74,153,118,59,99
User76,6,118,64,101,133,92
User77,6,69,153,113,59,99
User78,6,123,68,89,128,90
User79,6,99,104,128,64,78
User80,6,124,59,84,143,88
User81,6,84,131,128,93,81
User82,6,113,64,89,141,86
User83,6,118,64,99,134,88
User84,8,89,143,84,64,118
User85,6,98,89,133,69,79
User86,6,98,104,109,91,101
User87,8,84,143,74,74,133
User88,8,123,64,93,148,90
User89,6,84,113,141,98,81
User90,6,59,148,125,59,97
User91,8,143,69,79,143,123
User92,8,94,133,84,125,97
User93,8,84,108,113,93,90
User94,8,84,138,89,69,123
User95,6,84,108,133,98,81
User96,6,99,84,138,69,83
User97,8,113,94,84,109,128
User98,6,148,64,74,138,128
User99,8,84,138,113,64,114
User100,6,98,79,138,79,79
User101,8,133,84,84,133,118
User102,6,79,113,106,87,88
User103,8,113,104,84,94,148
User104,6,69,138,113,79,99
User105,6,83,103,98,99,90
User106,8,69,143,123,71,97
User107,8,118,94,99,99,143
User108,6,74,133,99,74,113
User109,12,115,94,163,109,92
User110,12,123,124,109,114,168
User111,12,94,133,157,133,95
User112,12,104,123,163,128,89
User113,14,99,198,89,74,153
User114,14,113,148,99,148,110
User115,14,94,163,99,94,153
User116,12,133,104,119,129,133
User117,14,163,69,94,188,143
User118,12,74,158,158,74,119
User119,12,123,124,109,129,143
User120,12,94,137,148,113,100
User121,12,123,129,139,99,143
User122,12,89,163,99,79,143
User123,14,81,173,143,79,122
User124,14,135,84,158,139,92
User125,12,108,113,133,114,100
User126,14,138,119,119,124,158
User127,12,128,122,134,109,120
User128,14,79,203,153,69,119
User129,12,84,150,128,104,102
User130,12,148,69,104,173,138
User131,14,133,124,119,124,168
User132,12,89,128,148,111,102
User133,12,79,183,133,70,113
User134,12,96,113,113,99,97
User135,14,84,161,153,84,116
User136,12,109,135,158,123,92
User137,12,133,74,114,175,102
User138,14,133,139,124,109,128
User139,12,128,124,114,111,126
User140,10,97,123,108,119,111
User141,12,123,104,104,134,153
User142,10,113,89,168,89,89
User143,12,109,148,94,133,119
User144,10,165,64,94,173,97
User145,12,93,123,123,124,100
User146,14,143,98,119,163,105
User147,12,89,158,89,89,158
User148,10,113,111,153,84,97
User149,12,138,86,114,158,102
User150,12,79,158,148,69,119
User151,14,84,178,138,87,116
User152,14,84,168,148,80,113
User153,14,84,173,143,69,110
User154,12,104,130,178,118,92
User155,10,99,123,153,128,103
User156,12,93,128,118,119,100
User157,12,128,119,104,119,173
User158,14,94,178,109,69,143
User159,12,148,69,104,168,114
User160,12,113,114,109,119,143
User161,12,153,74,94,163,158
User162,22,139,163,114,203,139
User163,14,163,99,94,158,143
User164,12,89,178,89,79,153
User165,12,79,183,104,69,148
User166,12,168,69,84,198,133
User167,22,128,158,183,158,130
User168,22,129,188,109,104,198
User169,16,178,74,114,198,129
User170,20,143,139,139,139,148
User171,20,114,198,124,114,153
User172,18,105,158,143,129,133
User173,20,120,193,104,148,138
User174,20,98,193,163,99,140
User175,22,148,174,129,129,153
User176,20,183,104,164,193,153
User177,18,99,203,129,94,158
User178,22,139,178,139,163,144
User179,22,90,188,163,109,138
User180,18,163,84,129,193,139
User181,18,88,178,178,89,140
User182,18,114,144,213,133,128
User183,22,143,124,208,134,124
User184,20,188,94,104,208,158
User185,18,99,228,104,84,163
User186,18,178,94,114,188,173
User187,22,119,198,149,114,168
User188,20,114,203,109,84,158
User189,18,99,193,158,99,144
User190,22,153,139,154,154,183
User191,20,162,94,144,198,135
User192,18,132,149,139,119,144
User193,18,104,193,114,99,173
User194,18,99,183,128,114,129
User195,20,178,89,154,198,183
User196,20,114,243,104,79,173
User197,22,133,183,114,183,140
User198,22,148,149,154,149,148
User199,22,114,213,129,94,178
User200,22,188,124,114,183,188
User201,25,153,159,129,139,218
User202,18,114,153,178,138,124
User203,22,184,84,129,233,133
User204,18,84,193,188,80,138
User205,18,178,129,104,183,163
User206,18,114,163,163,148,124
User207,16,132,94,178,109,120
User208,20,93,183,178,89,140
User209,16,137,104,173,109,130
User210,18,153,74,114,188,129
User211,18,128,114,168,124,124
User212,22,114,228,119,99,168
User213,22,178,89,114,203,139
User214,18,173,84,99,193,158
User215,20,168,89,124,183,129
User216,18,83,198,163,84,140
User217,22,144,173,134,173,149
User218,18,198,64,89,203,153
User219,20,114,208,114,119,168
User220,18,114,183,114,109,178
